RO number, RO status, Line A, Line B, Line C, Open Date
873656,PREASSIGNED,WON'T START              ,AND FILTER CHANGE SERVICE,SURE AND DOCUMENT TIRE TR,18FEB26
873657,READY TO POST,OUND INSPECT VEHICLE     ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873658,READY TO POST,NT CAMERA CALIBRATION    ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873659,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873661,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873662,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873663,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873664,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873665,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873666,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873667,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873668,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873669,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873670,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873671,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873672,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873673,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873674,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
